Sigla;Código;Município;Renda per capita média (Atlas DH - Censo) (2010);Percentual da população de 25 anos ou mais com ensino médio completo (Atlas DH - Censo) (2010);
BA;2926103;Retirolândia;293,01;21,94;
BA;2926202;Riachão das Neves;212,09;11,73;
BA;2926301;Riachão do Jacuípe;311,47;23,76;
BA;2926400;Riacho de Santana;281,05;19,02;
BA;2926509;Ribeira do Amparo;183,12;8,77;
BA;2926608;Ribeira do Pombal;332,86;19,31;
BA;2926657;Ribeirão do Largo;271,68;10,38;
BA;2926707;Rio de Contas;294,83;15,95;
BA;2926806;Rio do Antônio;252,98;13,8;
BA;2926905;Rio do Pires;274,58;15,32;
BA;2927002;Rio Real;274,86;14,48;
BA;2927101;Rodelas;271,59;31,34;
BA;2927200;Ruy Barbosa;301,42;21,99;
BA;2927309;Salinas da Margarida;286,45;28,65;
BA;2927408;Salvador;973;52,28;
BA;2927507;Santa Bárbara;251,87;16,89;
BA;2927606;Santa Brígida;220,77;11,19;
BA;2927705;Santa Cruz Cabrália;388,28;26,45;
BA;2927804;Santa Cruz da Vitória;282,42;22,5;
BA;2927903;Santa Inês;280,25;18,54;
BA;2928000;Santaluz;260,09;17,44;
BA;2928059;Santa Luzia;267,88;12,5;
BA;2928109;Santa Maria da Vitória;318,31;20,13;
BA;2928208;Santana;304,18;17,65;
BA;2928307;Santanópolis;263,19;19,28;
BA;2928406;Santa Rita de Cássia;267,32;17,4;
BA;2928505;Santa Teresinha;243,04;12,32;
BA;2928604;Santo Amaro;392,75;33,41;
BA;2928703;Santo Antônio de Jesus;540,38;33,02;
BA;2928802;Santo Estêvão;358,13;20,03;
BA;2928901;São Desidério;302,2;15,15;
BA;2928950;São Domingos;335,76;24,46;
BA;2929008;São Félix;299,65;27,29;
BA;2929057;São Félix do Coribe;335,9;22,83;
BA;2929107;São Felipe;268,96;17,04;
BA;2929206;São Francisco do Conde;433,23;28,91;
BA;2929255;São Gabriel;245,38;19,23;
BA;2929305;São Gonçalo dos Campos;419,27;25,77;
BA;2929354;São José da Vitória;250,42;14,26;
BA;2929370;São José do Jacuípe;253,57;10,87;
BA;2929404;São Miguel das Matas;274,08;14,72;
BA;2929503;São Sebastião do Passé;411,75;28,85;
BA;2929602;Sapeaçu;338,34;17,28;
BA;2929701;Sátiro Dias;208,2;9,44;
BA;2929750;Saubara;265,17;23,1;
BA;2929800;Saúde;238,81;17,05;
BA;2929909;Seabra;310,95;22,31;
BA;2930006;Sebastião Laranjeiras;276,29;15,2;
BA;2930105;Senhor do Bonfim;422,89;30,02;
BA;2930154;Serra do Ramalho;216,59;15,89;
BA;2930204;Sento Sé;222,84;15,22;
BA;2930303;Serra Dourada;228,74;15,77;
BA;2930402;Serra Preta;232,52;14,52;
BA;2930501;Serrinha;367,73;28,33;
BA;2930600;Serrolândia;261,29;15,15;
BA;2930709;Simões Filho;431,97;37,77;
